name,address,access,madori,land_area,house_area,built_date,strong_point,prefecture_name,price,zip_code,hours,age,notes,built_time,recommendation,shop_id,source,image_url1,image_url2,image_url3,image_url4
加西市山田町,兵庫県加西市山田町,北条鉄道北条線「北条町」バス21分河内南口歩21分,8DK,551.22,211.68,1922-1,囲炉裏、暖炉付きリフォーム歴のある古民家住宅,兵庫県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz190980116.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F116%2F90980116%2F90980116_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F116%2F90980116%2F90980116_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F116%2F90980116%2F90980116_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F116%2F90980116%2F90980116_0003.jpg&w=500
岡山市北区撫川,岡山県岡山市北区撫川,ＪＲ山陽本線「庭瀬」歩15分,4K,603,84.29,1926-1,古民家再生住居に最適です,岡山県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1080z2bsz1021z2ncz187705909.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F909%2F87705909%2F87705909_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F909%2F87705909%2F87705909_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F909%2F87705909%2F87705909_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F909%2F87705909%2F87705909_0003.jpg&w=500
北九州市門司区羽山１,福岡県北九州市門司区羽山１,ＪＲ鹿児島本線「小森江」歩9分ＪＲ鹿児島本線「門司」歩29分ＪＲ鹿児島本線「門司港」歩49分,4DK+S（納戸）,581.48,94.18,1927-1,○駐車場３台可能！１台はシャッター付き車庫完備！雨や風、飛来物や紫外線からも大切なお車を守ります○駐車場一部月極として貸出中○築90年超えの古民家風住宅,福岡県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1090z2bsz1021z2ncz190552718.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F718%2F90552718%2F90552718_0008.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F718%2F90552718%2F90552718_0009.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F718%2F90552718%2F90552718_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F718%2F90552718%2F90552718_0001.jpg&w=500
和歌山市平岡,和歌山県和歌山市平岡,和歌山バス「中筋日延」歩15分,8DK,1080.96,234.69,1932-1,築85年の本格木造住宅「古民家」・敷地面積327坪の長屋門構・家庭菜園や他の趣味にも多種多様,和歌山県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz186894998.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F998%2F86894998%2F86894998_0006.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F998%2F86894998%2F86894998_0007.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F998%2F86894998%2F86894998_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F998%2F86894998%2F86894998_0001.jpg&w=500
岡山市北区御津下田,岡山県岡山市北区御津下田,ＪＲ津山線「金川」歩32分ＪＲ津山線「野々口」歩68分ＪＲ津山線「建部」歩79分,7DK+S（納戸）,534.02,153.9,1935-1,北区御津下田　木造平屋建て古民家。離れもあります。,岡山県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1080z2bsz1021z2ncz190828736.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F736%2F90828736%2F90828736_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F736%2F90828736%2F90828736_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F736%2F90828736%2F90828736_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F736%2F90828736%2F90828736_0003.jpg&w=500
常総市新井木町,茨城県常総市新井木町,関東鉄道常総線「水海道」歩15分関東鉄道常総線「北水海道」歩23分,7LDK+S（納戸）,2704.22,337.59,1935-6,敷地面積８００坪超、建物１０２坪の農家住宅、倉庫、車庫、アトリエ付、母屋の構造体はケヤキを使用、古民家風,茨城県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1030z2bsz1021z2ncz190606084.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F084%2F90606084%2F90606084_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F084%2F90606084%2F90606084_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F084%2F90606084%2F90606084_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F030%2FN010000%2Fimg%2F084%2F90606084%2F90606084_0003.jpg&w=500
高島市マキノ町在原695,滋賀県高島市マキノ町在原695,ＪＲ湖西線「マキノ」バス24分在原歩2分,6DK,497.98,186.04,1935-1,自然豊かな高島市マキノ町の藁ぶき屋根の古民家の登場です。昔ながらの造りのおうち、詳しくは物件担当のLIXIL不動産ショップピアライフの秋田まで、お気軽にお問合せください。,滋賀県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz190267874.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F874%2F90267874%2F90267874_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F874%2F90267874%2F90267874_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F874%2F90267874%2F90267874_0003.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F874%2F90267874%2F90267874_0003.jpg&w=500
中間市土手ノ内１,福岡県中間市土手ノ内１,筑豊電気鉄道「希望が丘高校前」歩9分ＪＲ筑豊本線「鞍手」歩28分67「新手」歩18分,6LDK,1561.3,168.11,1935-3,○閑静な住宅街で小さなお子様がいるご家族にも安心！○駐車場5台以上可で古民家風飲食店にも最適！○昭和57年8月大規模リフォーム済み！○倉庫付(61.47m2),福岡県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1090z2bsz1021z2ncz187748528.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F528%2F87748528%2F87748528_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F528%2F87748528%2F87748528_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F528%2F87748528%2F87748528_0015.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F090%2FN010000%2Fimg%2F528%2F87748528%2F87748528_0015.jpg&w=500
紀の川市桃山町市場,和歌山県紀の川市桃山町市場,わかやま電鉄貴志川線「貴志」歩50分,8DK,668.44,123.96,1936-11,純和風の古民家！蔵のある家！　大家族にも最適！太い梁に漆喰・欄干・和室続き間あり！広い庭もあります！リノベーションすれば古民家カフェも可能。,和歌山県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1060z2bsz1021z2ncz189767084.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F084%2F89767084%2F89767084_0011.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F084%2F89767084%2F89767084_0012.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F084%2F89767084%2F89767084_0013.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F060%2FN010000%2Fimg%2F084%2F89767084%2F89767084_0013.jpg&w=500
下関市垢田町１,山口県下関市垢田町１,サンデン交通「垢田」歩3分,6LDK,409.91,208.69,1938-10,古民家再生住宅！センスの良い和風住宅です,山口県,"","","","","","",great,"",https://suumo.jp/chukoikkodate/__JJ_JJ010FJ100_arz1080z2bsz1021z2ncz191064607.html?suit=nsuusbsp20121129001,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F607%2F91064607%2F91064607_0001.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F607%2F91064607%2F91064607_0002.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F607%2F91064607%2F91064607_0005.jpg&w=500,https://img01.suumo.com/jj/resizeImage?src=gazo%2Fbukken%2F080%2FN010000%2Fimg%2F607%2F91064607%2F91064607_0005.jpg&w=500
